id,public_metrics
875097192612077568,"{'retweet_count': 5173, 'reply_count': 57, 'like_count': 24482, 'quote_count': 66}"
875021211251597312,"{'retweet_count': 4018, 'reply_count': 60, 'like_count': 22777, 'quote_count': 66}"
875021211251597312,"{'retweet_count': 4018, 'reply_count': 60, 'like_count': 22777, 'quote_count': 66}"
874680097055178752,"{'retweet_count': 3955, 'reply_count': 93, 'like_count': 24847, 'quote_count': 138}"
874680097055178752,"{'retweet_count': 3955, 'reply_count': 93, 'like_count': 24847, 'quote_count': 138}"
874434818259525634,"{'retweet_count': 12323, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
874434818259525634,"{'retweet_count': 12323, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
874296783580663808,"{'retweet_count': 3519, 'reply_count': 113, 'like_count': 23210, 'quote_count': 106}"
874296783580663808,"{'retweet_count': 3519, 'reply_count': 113, 'like_count': 23210, 'quote_count': 106}"
874057562936811520,"{'retweet_count': 3414, 'reply_count': 95, 'like_count': 20336, 'quote_count': 85}"
874057562936811520,"{'retweet_count': 3414, 'reply_count': 95, 'like_count': 20336, 'quote_count': 85}"
874012996292530176,"{'retweet_count': 8649, 'reply_count': 62, 'like_count': 30426, 'quote_count': 209}"
874012996292530176,"{'retweet_count': 8649, 'reply_count': 62, 'like_count': 30426, 'quote_count': 209}"
873580283840344065,"{'retweet_count': 3370, 'reply_count': 58, 'like_count': 21612, 'quote_count': 102}"
873580283840344065,"{'retweet_count': 3370, 'reply_count': 58, 'like_count': 21612, 'quote_count': 102}"
873337748698140672,"{'retweet_count': 1337, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
873337748698140672,"{'retweet_count': 1337, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
873213775632977920,"{'retweet_count': 1337, 'reply_count': 17, 'like_count': 6382, 'quote_count': 30}"
873213775632977920,"{'retweet_count': 1337, 'reply_count': 17, 'like_count': 6382, 'quote_count': 30}"
872967104147763200,"{'retweet_count': 4599, 'reply_count': 69, 'like_count': 24300, 'quote_count': 89}"
872967104147763200,"{'retweet_count': 4599, 'reply_count': 69, 'like_count': 24300, 'quote_count': 89}"
872820683541237760,"{'retweet_count': 3191, 'reply_count': 122, 'like_count': 13182, 'quote_count': 141}"
